taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Chilopsis linearis,ITIS:34318,species,ITIS:34318,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Bignoniaceae,Chilopsis,linearis,,desert willow
Parkinsonia praecox,ITIS:820787,species,ITIS:820787,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Parkinsonia,praecox,,NA
Hedera canariensis,ITIS:822344,species,ITIS:29393,synonym,2011-07-25,Plantae,NA,Magnoliopsida,Apiales,Araliaceae,Hedera,helix,,English ivy
Chlorophytum comosum,ITIS:810167,species,ITIS:810167,accepted,2011-02-24,Plantae,NA,Magnoliopsida,Asparagales,Asparagaceae,Chlorophytum,comosum,,spider plant
Ligustrum ovalifolium,ITIS:32977,species,ITIS:32977,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Oleaceae,Ligustrum,ovalifolium,,California privet
Wedelia trilobata,ITIS:38666,species,ITIS:565537,synonym,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Sphagneticola,trilobata,,Bay Biscayne creeping oxeye
Quercus virginiana,ITIS:19283,species,ITIS:19283,accepted,2012-01-27,Plantae,NA,Magnoliopsida,Fagales,Fagaceae,Quercus,virginiana,,live oak
Tagetes lemmonii,ITIS:38484,species,ITIS:38484,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Tagetes,lemmonii,,Lemmons marigold
Freesia,ITIS:43291,genus,ITIS:43291,accepted,2012-10-26,NA,NA,NA,NA,NA,NA,,,freesia
Pachycereus pringlei,ITIS:907436,species,ITIS:907436,accepted,2013-06-12,Plantae,NA,Magnoliopsida,Caryophyllales,Cactaceae,Pachycereus,pringlei,,NA
Hamelia patens,ITIS:35005,species,ITIS:35005,accepted,2012-02-27,Plantae,NA,Magnoliopsida,Gentianales,Rubiaceae,Hamelia,patens,,scarletbush
Bauhinia variegata,ITIS:26494,species,ITIS:26494,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Bauhinia,variegata,,mountain ebony
Schinus terebenthifolius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucaena leucocephala,ITIS:26766,species,ITIS:26766,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Leucaena,leucocephala,,white leadtree
Malvastrum coromandelianum,ITIS:503679,species,ITIS:503679,accepted,2020-08-28,Plantae,NA,Magnoliopsida,Malvales,Malvaceae,Malvastrum,coromandelianum,,threelobe false mallow
Carnegiea gigantea,ITIS:506151,species,ITIS:506151,accepted,2013-06-12,Plantae,NA,Magnoliopsida,Caryophyllales,Cactaceae,Carnegiea,gigantea,,saguaro
Citrus trifoliata,ITIS:511079,species,ITIS:28989,synonym,2011-09-22,Plantae,NA,Magnoliopsida,Sapindales,Rutaceae,Poncirus,trifoliata,,hardy orange
